City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Wailua Homesteads,US,79.86,light rain,22.0669,-159.378,Hilton Garden Inn Kauai Wailua Bay
10,Nabire,ID,85.12,overcast clouds,-3.3667,135.4833,Hotel Anggrek
23,Kroya,ID,79.34,overcast clouds,-7.6331,109.2461,Setia Hotel
26,Saipan,MP,84.9,light rain,15.1355,145.701,Chalan Kanoa Beach Hotel
27,Uturoa,PF,82.47,clear sky,-16.7333,-151.4333,Hawaiki Nui hotel
33,Kingston,JM,83.35,few clouds,17.997,-76.7936,Aphrodite Hotel
34,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Page 63 hostel
46,Daru,PG,80.92,broken clouds,-9.0763,143.2092,Kuki
52,Lazaro Cardenas,MX,85.05,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
59,Ha'Il,SA,82.42,clear sky,27.5219,41.6907,فندق كلاسيك
67,Freetown,SL,80.31,scattered clouds,8.484,-13.2299,Formal Leona hotel
78,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Hotel Hero
89,West Island,CC,80.58,scattered clouds,-12.1568,96.8225,Cocos Village Bungalows
90,Cabo San Lucas,MX,85.17,clear sky,22.8909,-109.9124,Comfort Rooms
97,Marsh Harbour,BS,80.85,clear sky,26.5412,-77.0636,Lofty Fig Villas
100,Gizo,SB,83.8,light rain,-8.103,156.8419,Gizo Hotel
129,Pearsall,US,88.99,broken clouds,28.8922,-99.095,Pearsall Inn & Suites
139,Lae,PG,84.87,few clouds,-6.7221,146.9847,Huon Gulf Hotel
141,Mukalla,YE,84.09,clear sky,14.5425,49.1242,فندق الجابري
146,Paradip Garh,IN,85.17,clear sky,20.3167,86.6167,Hotel Sea Pearl
152,Grand Island,US,80.55,clear sky,40.925,-98.342,Grand Island Travelodge
156,Holualoa,US,80.44,light rain,19.6228,-155.9522,Kona Hotel
162,Afaahiti,PF,84.07,few clouds,-17.75,-149.2833,Omati Lodge
169,Vernon,CA,82.92,scattered clouds,50.2581,-119.2691,Okanagan Royal Park Inn
176,Hithadhoo,MV,82.74,overcast clouds,-0.6,73.0833,Pebbles Inn
204,Papao,PF,85.68,clear sky,-17.75,-149.55,Hiti Moana Villa Lodge
209,Kudat,MY,82.33,few clouds,6.8837,116.8477,Hotel Ria
211,Le Vauclin,MQ,80.65,scattered clouds,14.5452,-60.8388,Hôtel Macabou
235,Sanming,CN,85.66,scattered clouds,26.2486,117.6186,三明客家宾馆
240,Howrah,IN,80.6,mist,22.5892,88.3103,Sun India Guest House
244,Lautoka,FJ,84.06,scattered clouds,-17.6167,177.4667,Cathay Hotel
245,Puerto Escondido,MX,84.18,light rain,15.85,-97.0667,Hotel Barlovento
257,Sinjai,ID,80.65,broken clouds,-5.1241,120.253,Hotel Sinjai
258,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,Andaman Ocean Breeze
272,Rio Preto Da Eva,BR,79.68,overcast clouds,-2.6994,-59.6997,Hotel Santo Antonio
278,Kapuskasing,CA,84.2,clear sky,49.4169,-82.4331,Travelodge
281,Kolonia Town,FM,82.56,moderate rain,6.964,158.206,Cliff Rainbow Hotel
286,Lihue,US,80.46,light rain,21.9789,-159.3672,Kauai Palms
291,Bathsheba,BB,81.21,light intensity shower rain,13.2167,-59.5167,Atlantis Hotel
295,Kailua-Kona,US,84.16,light rain,19.6406,-155.9956,Kona Seaside Hotel
307,Sohag,EG,79.09,overcast clouds,26.557,31.6948,Al Safa Hotel
313,Puli,TW,79.79,clear sky,23.9664,120.9695,金山大飯店
315,Laguna,US,83.01,clear sky,38.421,-121.4238,Holiday Inn Express & Suites
319,Aweil,SS,79.0,broken clouds,8.7682,27.4002,Aweil Grand Hotel
321,Puerto Armuelles,PA,84.18,light rain,8.2833,-82.8667,Coco del Mar
329,Gulf Shores,US,79.07,clear sky,30.246,-87.7008,Beachside Resort
337,Lubao,PH,85.71,scattered clouds,14.9167,120.55,Hacienda de Gracia Resort
340,Lorengau,PG,83.98,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
342,Mahina,PF,85.77,few clouds,-17.5065,-149.489,Motu Martin
347,Port Sudan,SD,85.01,clear sky,19.6175,37.2164,Ranya Hotel
354,Kathor,IN,83.21,few clouds,21.3,72.9333,girnar farm delivery kamrej
356,Malabo,GQ,80.46,light rain,3.75,8.7833,Hotel Yoli
357,Samana,DO,80.19,overcast clouds,19.2056,-69.3369,Hotel Cotubanamá
360,Sorong,ID,82.98,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
362,Pendleton,US,80.78,clear sky,45.6721,-118.7886,Working Girls Hotel
365,Mermoz Boabab,SN,79.36,clear sky,14.7065,-17.4758,Le Shéhérazade
368,La'Ie,US,84.16,few clouds,21.6477,-157.9253,Courtyard by Marriott
370,Monrovia,LR,80.53,overcast clouds,6.3005,-10.7969,Bella Casa Hotel
371,Cockburn Town,TC,81.88,overcast clouds,21.4612,-71.1419,The Salt Raker Inn
373,Dryden,CA,80.89,clear sky,49.7833,-92.7503,Holiday Inn Express
376,Tobelo,ID,85.28,scattered clouds,1.7284,128.0095,JJ Guesthouse
378,Nicoya,CR,79.2,overcast clouds,10.1483,-85.452,Hotel marianela
379,Paracuru,BR,82.11,clear sky,-3.41,-39.0306,Vento Brasil
396,Ratnagiri,IN,80.2,clear sky,16.9833,73.3,Vihar
420,Tabou,CI,79.07,overcast clouds,4.423,-7.3528,hôtel le rochet
423,Bikenibeu Village,KI,87.76,few clouds,1.3673,173.1241,Otintaai Hotel
439,Kloulklubed,PW,83.89,moderate rain,7.0419,134.2556,The Adventures Inn
442,Tofol,FM,81.86,overcast clouds,5.3248,163.0078,Nautilus Resort
449,Betio Village,KI,87.84,few clouds,1.358,172.9211,Seaman Hostel
