City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qaqortoq,GL,60.7167,-46.0333,37.26,70,100,0.4,overcast clouds
1,Grytviken,GS,-54.2811,-36.5092,30.13,79,18,12.93,few clouds
2,Blackmans Bay,AU,-43.0167,147.3167,54.73,74,100,1.5,overcast clouds
3,Voss,NO,60.623,6.4229,46.54,99,100,7.07,overcast clouds
4,Nadym,RU,65.5333,72.5167,56.37,86,100,18.48,overcast clouds
5,Bilibino,RU,68.0546,166.4372,42.71,63,100,18.66,overcast clouds
6,Badger,US,64.8,-147.5333,68.5,29,40,12.66,scattered clouds
7,Wailua Homesteads,US,22.0669,-159.378,79.86,72,20,12.66,light rain
8,Carbonear,CA,47.7332,-53.2148,46.15,82,100,11.36,overcast clouds
9,Jayapura,ID,-2.5333,140.7,72.79,89,100,4.92,overcast clouds
10,Nabire,ID,-3.3667,135.4833,85.12,68,96,3.09,overcast clouds
11,Al Hazm,YE,16.1641,44.7769,78.96,48,94,4.74,overcast clouds
12,Port Elizabeth,ZA,-33.918,25.5701,58.32,49,0,3.0,clear sky
13,Bredasdorp,ZA,-34.5322,20.0403,47.37,78,0,3.02,clear sky
14,Adamstown,PN,-25.066,-130.1015,72.14,73,35,24.58,light rain
15,Waitangi,NZ,-43.9535,-176.5597,60.82,90,100,3.0,overcast clouds
16,Fort Bragg,US,35.139,-79.006,61.2,96,100,20.71,overcast clouds
17,New Norfolk,AU,-42.7826,147.0587,55.92,68,100,1.01,overcast clouds
18,Port-Aux-Francais,TF,-49.35,70.2167,39.83,87,100,31.7,overcast clouds
19,Kavaratti,IN,10.5669,72.642,84.97,74,99,14.63,overcast clouds
20,Igarka,RU,67.4667,86.5833,51.71,69,14,12.75,few clouds
21,Shizunai-Furukawacho,JP,42.3339,142.3669,59.25,80,100,7.9,overcast clouds
22,Bethel,US,41.3712,-73.414,67.03,56,2,4.47,clear sky
23,Kroya,ID,-7.6331,109.2461,79.34,70,100,7.38,overcast clouds
24,Isafjordur,IS,66.0755,-23.124,41.2,85,100,12.35,overcast clouds
25,Corner Brook,CA,48.9667,-57.9484,44.76,96,22,4.29,few clouds
26,Saipan,MP,15.1355,145.701,84.9,94,40,14.97,light rain
